arch,run_idx_a,run_idx_b,seed_a,seed_b,hazard_cost,chain_object_a,chain_object_b,link_sequence_a,link_sequence_b,link_sequence_distance,within_run
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_green,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_green,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_green,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_green,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_green,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_green,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
v1_12,,,,,,haz_yellow,haz_yellow,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,surprise|precondition|mastery_formation|phase1_absence|suppressed_approach|belief_revision,0.0,True
